和名,学名 (大菌輪),別名 (目録2016),学名 (目録2016),科 (目録2016),属 (目録2016),Family (目録2016),Genus (目録2016),学名 (Mycobank),最新異名 (Mycobank)

シロニセトマヤタケ,Inocybe infida,,,,,,,"Inocybe infida (Peck) Earle, Torreya 3: 170 (1903) [MB#486406]","Astrosporina infida (Peck) Rea, British Basidiomycetae: A handbook to the larger British fungi: 209 (1922) [MB#462391]<br />Agaricus infidus Peck, Annual Report on the New York State Museum of Natural History 27: 95 (1875) [MB#354490]

"

シロヌメリイグチ,Suillus viscidus,クロヌメリイグチ,Suillus viscidus (L.) Roussel,ヌメリイグチ科,ヌメリイグチ属,Suillaceae,Suillus,"Suillus viscidus (L.) Roussel, Flore du Calvados et terrains adjacents, composée suivant la méthode de Jussieu: 34 (1796) [MB#324347]","Fuscoboletinus viscidus (L.) Grund & K.A. Harrison, Bibliotheca Mycologica 47: 134 (1976) [MB#314225]

<br />Boletopsis viscida (L.) Henn., Die natürlichen Pflanzenfamilien nebst ihren Gattungen und wichtigeren Arten insbesondere den Nutzpflanzen : I. Tl., 1. Abt.: Fungi (Eumycetes): 195 (1900) [MB#156199]

<br />Boletus larignus Britzelm., Botanisches Centralblatt 54 (4): 102 (1893) [MB#242560]

<br />Boletus luteobadius Britzelm. (1893) [MB#247224]<br />Boletus sordidus Schwalb, Buch der Pilze: 162 (1891) [MB#473590]

<br />Ixocomus viscidus (L.) Quél., Flore mycologique de la France et des pays limitrophes: 416 (1888) [MB#456996]

<br />Viscipellis viscida (Linnaeus) Quélet, Enchiridion Fungorum in Europa media et praesertim in Gallia Vigentium: 156 (1886) [MB#802820]

<br />Viscipellis viscida (L.) Quél.: 156 (1886) [MB#580018]

<br />Boletus serotinus Frost, Bulletin of the Buffalo Society of Natural Sciences 2: 100 (1877) [MB#199582]

<br />Boletus elbensis Peck, Annual Report on the New York State Museum of Natural History 23: 129 (1872) [MB#215924]

<br />Boletus viscidus L., Species Plantarum: 1177 (1753) [MB#162822]

"

シロヌメリカラカサタケ,Limacella illinita,,Limacella illinita (Fr. : Fr.) Murrill,テングタケ科,ヌメリカラカサタケ属,Amanitaceae,Limacella,"Zhuliangomyces illinitus (Fr.) Redhead, Index Fungorum 385: 1 (2019) [MB#555404]","Zhuliangomyces illinitus (Fr.) Redhead, Index Fungorum 385: 1 (2019) [MB#555404]<br />Myxoderma illinitum (Fr.) Kühner, Le Botaniste 17: 145 (1926) [MB#252682]

<br />Amanitella illinita (Fr.) Maire, Annales Mycologici 11 (4): 337 (1913) [MB#173759]

<br />Armillaria subcava (Schumach.) Sacc., Sylloge Fungorum 5: 84 (1887) [MB#185918]

<br />Lepiota illinita (Fr.) Quél., Mémoires de la Société d'Émulation de Montbéliard ser. 2, 5: 338 (1873) [MB#206826]

<br />Agaricus illinitus Fr., Observationes mycologicae 2: 8 (1818) [MB#463137]

<br />Agaricus subcavus Schumach., Enumeratio Plantarum, in Partibus Sællandiae Septentrionalis et Orientalis Crescentium 2: 262 (1803) [MB#457124]

"

シロヌメリガサ,Hygrophorus eburneus,シロヌメリカサ,Hygrophorus eburneus (Bull. : Fr.) Fr.,ヌメリガサ科,ヌメリガサ属,Hygrophoraceae,Hygrophorus,"Hygrophorus eburneus (Bull.) Fr., Anteckningar öfver de i Sverige växande ätliga svampar: 45 (1836) [MB#165322]","Limacium eburneum (Bull.) P. Kumm., Der Führer in die Pilzkunde: 119 (1871) [MB#355597]<br />Gymnopus eburneus (Bull.) Gray, A natural arrangement of British plants 1: 610 (1821) [MB#486478]

<br />Agaricus eburneus Bull., Herbier de la France 3: t. 118 (1783) [MB#202582]

"

シロネハナヤスリタケ,Elaphocordyceps x jezoensoides,,"Tolypocladium ×jezoensoides (Kobayashi) (ined.) =  Elaphocordyceps ×jezoensoides (Kobayashi) Hirok. Sato, S. Ban, Masuya & Hosoya",オフィオコルディセプス科,トリポクラジウム属,Ophiocordycipitaceae,Tolypocladium,"Elaphocordyceps x jezoensoides (Y. Kobayasi) Hirok. Sato, S. Ban, Masuya & Hosoya, Mycoscience 51 (6) (2010) [MB#516935]","Cordyceps x jezoensoides Y. Kobayasi, Bulletin of the National Science Museum Tokyo 5: 79 (1960) [MB#516934]"

シロノタモギタケモドキ,Pleurotus cornucopiae,,Pleurotus cornucopiae (Paulet) Rolland,ヒラタケ科,ヒラタケ属,Pleurotaceae,Pleurotus,"Pleurotus cornucopiae (Paulet) Rolland, Comptes Rendus de l´Association Française pour l´Avancement des Sciences 13: 278, t. 44 (1885) [MB#355897]","Pleurotus ostreatus var. cornucopiae (Paulet) Pilát, Atlas des Champignons de l'Europe II: Pleurotus Fries: 121 (1935) [MB#494147]

<br />Pleurotus ostreatus f. cornucopiae (Paulet) Pilát, Atlas des Champignons de l'Europe II: Pleurotus Fries: 121 (1935) [MB#273129]

<br />Crepidotus cornucopiae (Paulet) Murrill, North American Flora 9 (5): 305 (1916) [MB#502087]

<br />Lentinus cornucopioides Klotzsch, Linnaea: 123 (1835) [MB#473374]<br />Agaricus cornucopiae (Paulet) Pers., Mycologia Europaea 3: 37 (1828) [MB#457020]

<br />Dendrosarcus cornucopiae (Paulet) Lév., Iconographie Champ.: 119, pl. 28:1-3 (1828) [MB#455726]

<br />Fungus cornucopiae Paulet, Traité des champignons 2: 2 (index) (1793) [MB#455727]

"

シロハツ,Russula delica,アイバシロハツ,Russula delica Fr.,ベニタケ科,ベニタケ属,Russulaceae,Russula,"Russula delica Fr., Epicrisis Systematis Mycologici: 350 (1838) [MB#184527]",

シロハツモドキ,Russula japonica,カラシロハツ,Russula japonica Hongo,ベニタケ科,ベニタケ属,Russulaceae,Russula,Russula japonica Hongo (1954) [MB#338701],

シロヒカリタケ,Pleurotus eugrammus</i> var. <i>radicicola,,Neonothopanus nambi (Speg.) R.H. Petersen & Krisai = Pleurotus eugrammus (Mont.) Dennis var. radicicola Corner,ヒラタケ科,シロヒカリタケ属,Pleurotaceae,Neonothopanus,,

シロヒガサ,Hygrocybe pantoleuca,,Hygrocybe pantoleuca (Hongo) Hongo,ヌメリガサ科,アカヤマタケ属,Hygrophoraceae,Hygrocybe,"Hygrocybe pantoleuca (Hongo) Hongo, Memoirs of the Faculty of Liberal Arts of the Shiga University 32: 91 (1982) [MB#108975]","Hygrophorus pantoleucus Hongo, Journal of Japanese Botany 33: 135 (1958) [MB#298704]"

シロヒナノチャワンタケ,Dasyscyphus virgineus,,Lachnum virgineum (Batsch) P. Karst.,ヒナノチャワンタケ科,ヒナノチャワンタケ属,Hyaloscyphaceae,Lachnum,"Dasyscyphus virgineus (Batsch) Gray, A natural arrangement of British plants 1: 671 (1821) [MB#227435]","Atractobolus virgineus (Batsch) Kuntze, Revisio generum plantarum 3 (2): 445 (1898) [MB#523441]<br />Lachnella virginea (Batsch) W. Phillips, A manual of the British Discomycetes: 248 (1887) [MB#438543]

<br />Erinella virginea (Batsch) Quél.: 304 (1886) [MB#582020]

<br />Lachnum virgineum (Batsch) P. Karst., Bidrag till Kännedom av Finlands Natur och Folk 19: 169 (1871) [MB#356658]

<br />Dasyscypha virginea (Batsch) Gray (1821) [MB#584809]

<br />Peziza virginea Batsch, Elenchus fungorum: 125 (1783) [MB#200402]

"

シロヒナノチャワンタケモドキ,Lachnum nudipes,,Lachnum nudipes (Fuckel) Nannf.,ヒナノチャワンタケ科,ヒナノチャワンタケ属,Hyaloscyphaceae,Lachnum,"Lachnum nudipes (Fuckel) Nannf., Svensk Botanisk Tidskrift 22 (1-2): 124 (1928) [MB#272504]","Atractobolus nudipes (Fuckel) Kuntze, Revisio generum plantarum 3 (2): 446 (1898) [MB#523381]<br />Dasyscyphus nudipes (Fuckel) Sacc., Sylloge Fungorum 8: 442 (1889) [MB#190254]

<br />Peziza nudipes Fuckel, Fungi Rhenani Exsiccati Cent. XIX-XXI 19-21: Fung. Rhen. no 1863 (1867) [MB#200421]

"

シロヒメカヤタケ,Leucocybe candicans,,"Leucocybe candicans (Pers.) Vizzini, P. Alvarado, G. Moreno & Consiglio",キシメジ科,シロヒメカヤタケ属,Tricholomataceae,Leucocybe,"Leucocybe candicans (Pers.) Vizzini, P. Alvarado, G. Moreno & Consiglio, Mycologia 107 (1): 131 (2015) [MB#808518]","Pholiota candicans (Pers.) J. Schröt., Kryptogamen-Flora von Schlesien 3.1 (33-40): 608 (1889) [MB#495043]<br />Clitocybe candicans (Pers.) P. Kumm., Der Führer in die Pilzkunde: 122 (1871) [MB#177054]

<br />Omphalia candicans (Pers.) Gray, A natural arrangement of British plants 1: 613 (1821) [MB#486493]

<br />Agaricus candicans Pers., Synopsis methodica fungorum: 456 (1801) [MB#461582]

"

シロヒメカラカサタケ,Leucocoprinus cygneus,,Leucocoprinus cygneus (J.E. Lange) Bon.,ハラタケ科,キヌカラカサタケ属,Agaricaceae,Leucocoprinus,"Leucocoprinus cygneus (J.E. Lange) Bon, Documents Mycologiques 8 (30): 70 (1978) [MB#316819]","Cystolepiota cygnea (J.E. Lange) M.M. Moser, Kleine Kryptogamenflora - Die Röhrlinge und Blätterpilze (Agaricales) IIb/2: 236 (1978) [MB#312541]

<br />Sericeomyces cygneus (J.E. Lange) Heinem., Bulletin du Jardin Botanique National de Belgique 48 (3-4): 405 (1978) [MB#323526]<br />Pseudobaeospora cygnea (J.E. Lange) Locq., Bulletin de la Société Mycologique de France 68: 169 (1952) [MB#304338]

<br />Lepiota cygnea J.E. Lange, Flora Agaricina Danica 5: V (1940) [MB#299473]

"

シロヒメツツタケ,Rectipilus fasciculatus,,Rectipilus fasciculatus (Pers.) Agerer,ホウライタケ科,シロヒメツツタケ属,Marasmiaceae,Rectipilus,"Rectipilus fasciculatus (Pers.) Agerer, Persoonia 7: 419 (1973) [MB#322391]","Lachnella fasciculata (Pers.) G. Cunn., Bulletin of the New Zealand Department of Industrial Research 145: 308 (1963) [MB#299243]

<br />Solenia gracilis Copel., Annales Mycologici 2 (6): 508 (1904) [MB#207166]<br />Cyphella saccardoi P. Syd., Sylloge Fungorum 14: 233 (1900) [MB#159806]

<br />Cyphella brunnea W. Phillips, Grevillea 13 (66): 49 (1884) [MB#183380]

<br />Cyphella furcata Berk. & M.A. Curtis, Grevillea 2 (13): 5 (1873) [MB#164341]

<br />Cyphella fulva Berk. & Ravenel, Annals and Magazine of Natural History 7: 379 (1861) [MB#164233]

<br />Cantharellus fasciculatus Schwein., Transactions of the American Philosophical Society 4 (2): 153 (1832) [MB#207700]

<br />Solenia fasciculata Pers., Mycologia Europaea 1: 335 (1822) [MB#210106]

<br />Solenia villosa Fr., Systema Mycologicum 2: 200 (1822) [MB#216201]

<br />Peziza solenia Lam. & DC., Flore française 2: 17 (1805) [MB#198222]

"

シロヒメホウキタケ,Ramariopsis kunzei,,Ramariopsis kunzei (Fr.) Corner,シロソウメンタケ科,ヒメホウキタケ属,Clavariaceae,Ramariopsis,"Ramariopsis kunzei (Fr.) Corner, Annals of Botany Memoirs 1: 640 (1950) [MB#338194]","Clavulinopsis kunzei (Fr.) Jülich, International Journal of Mycology and Lichenology 2 (1): 120 (1985) [MB#104125]

<br />Clavaria subcaespitosa Peck, Bulletin of the New York State Museum 167: 39 (1913) [MB#201476]<br />Clavaria favreae (Quél.) Sacc. & Traverso, Sylloge Fungorum 21: 429 (1912) [MB#149576]

<br />Clavaria asperula G.F. Atk., Annales Mycologici 6: 54 (1908) [MB#199385]

<br />Clavaria asperulans G.F. Atk., Annales Mycologici 6: 55 (1908) [MB#199042]

<br />Clavaria lentofragilis G.F. Atk., Annales Mycologici 6: 57 (1908) [MB#214640]

<br />Ramaria favrei Quél., Comptes Rendus de l´Association Française pour l´Avancement des Sciences 22 (2): 489 (1894) [MB#503584]

<br />Ramaria favreae Quél., Comptes Rendus de l´Association Française pour l´Avancement des Sciences 22 (2): 489 (1894) [MB#151708]

<br />Clavulina kunzei (Fr.) J. Schröt., Kryptogamen-Flora von Schlesien 3-1(4): 442 (1888) [MB#114571]

<br />Ramaria kunzei (Fr.) Quél., Flore mycologique de la France et des pays limitrophes: 464 (1888) [MB#471126]

<br />Clavaria velutina Ellis & Everh., North American Fungi, II, No 2024: no. 2024 (1888) [MB#159468]

<br />Lachnocladium subsimile Berk. & M.A. Curtis, Grevillea 1 (11): 161 (1873) [MB#209276]

<br />Clavaria krombholzii Fr., Epicrisis Systematis Mycologici: 572 (1838) [MB#183155]

<br />Clavaria subcorticalis Schwein., Transactions of the American Philosophical Society 4 (2): 182 (1832) [MB#201381]

<br />Clavaria chionea Pers., Mycologia Europaea 1: 167 (1822) [MB#236598]

<br />Clavaria kunzei Fr., Systema Mycologicum 1: 474 (1821) [MB#183027]

<br />Clavaria dubia Pers., Commentatio de Fungis Clavaeformibus: 50 (1797) [MB#468729]

"

シロヒメホウライタケ,Marasmius rotula,,Marasmius rotula (Scop.) Fr.,ホウライタケ科,ホウライタケ属,Marasmiaceae,Marasmius,"Marasmius rotula (Scop.) Fr., Epicrisis Systematis Mycologici: 385 (1838) [MB#156778]","Chamaeceras rotula (Scop.) Kuntze, Revisio generum plantarum 3 (2): 455 (1898) [MB#524367]<br />Androsaceus rotula (Scop.) Pat., Les Hyménomycètes d'Europe: 477 (1887) [MB#439332]

<br />Agaricus rotula Scop., Flora carniolica 2: 456, no 1569 (1772) [MB#234414]

"

シロヒモカワタケ,Lyoathelia laxa,,Lyoathelia laxa (Burt) Hjortstam & Ryvarden,コツブコウヤクタケ科,リオアセリア属,Atheliaceae,Lyoathelia,"Lyoathelia laxa (Burt) Hjortstam & Ryvarden, Synopsis Fungorum 18: 11 (2004) [MB#371065]","Hyphoderma nudicephalum Gilb. & M. Blackw., Mycotaxon 33: 378 (1988) [MB#134906]<br />Hyphodontia laxa (Burt) Y. Hayashi, Bulletin of the Government Forest Experimental Station Meguro 260: 52 (1974) [MB#283485]

<br />Athelia laxa (Burt) Jülich, Willdenowia Beiheft 7: 90 (1972) [MB#283369]

<br />Peniophora laxa Burt, Annals of the Missouri Botanical Garden 12 (3): 224 (1926) [MB#269131]

"

シロビロードチャワンタケ,Jafnea semitosta,シロビロウドチャワンタケ,Jafnea semitosta (Berk. & M.A. Curtis) Korf,ピロネマキン科,ビロードチャワンタケ属,Pyronemataceae,Jafnea,"Jafnea semitosta (Berk. & M.A. Curtis) Korf, Nagaoa 7: 5 (1960) [MB#332671]","Paxina semitosta (Berk. & M.A. Curtis) Seaver, The North American Cup-Fungi (Operculates) (3): 209 (1928) [MB#277841]<br />Sepultaria semitosta (Berk. & M.A. Curtis) Morgan, Journal of Mycology 8 (4): 188 (1902) [MB#100509]

<br />Macropodia semitosta (Berk. & M.A. Curtis) Cooke: fig. 109 (1876) [MB#140096]

<br />Peziza semitosta Berk. & M.A. Curtis, Grevillea 3 (28): 153 (1875) [MB#178471]

"

シロフウセンホコリ,Badhamia affinis,,,,,,,"Badhamia affinis Rostaf., Sluzowce Monografia: 143 (1874) [MB#244093]","Badhamia armillata Nann.-Bremek., Proceedings van de Koninklijke Nederlandse Akademie van Wetenschappen Section C 69: 354 (1966) [MB#326877]"

シロペンキタケ,Vuilleminia comedens,,Vuilleminia comedens (Nees) Maire,コウヤクタケ科,シロペンキタケ属,Corticiaceae,Vuilleminia,"Vuilleminia comedens (Nees) Maire, Bulletin de la Société Mycologique de France 18 (Suppl.): 81 (1902) [MB#414505]","Terana comedens (Nees) Kuntze, Revisio generum plantarum 2: 872 (1891) [MB#440520]

<br />Corticium carlylei Massee, Botanical Journal of the Linnean Society 27: 148 (1890) [MB#203485]<br />Corticium comedens (Nees) Fr., Epicrisis Systematis Mycologici: 565 (1838) [MB#210674]

<br />Hypochnus helvolus Fr., Observationes mycologicae 2: 281 (1818) [MB#469562]

<br />Thelephora carnosa Ehrenb., Sylvae mycologicae Berolinenses: 30 (1818) [MB#180958]

<br />Thelephora comedens Nees, System der Pilze und Schwämme: 239, t. 34:255 (1817) [MB#212019]

"

シロホウライタケ,Marasmiellus candidus,,Marasmiellus candidus (Bolt.) Sing. → Tetrapyrgos,ツキヨタケ科,シロホウライタケ属,Omphalotaceae,Marasmiellus,"Hemimycena candida (Bres.) Singer, Annales Mycologici 41: 121 (1943) [MB#259584]","Helotium candidum (Bres.) Redhead, Canadian Journal of Botany 60 (10): 2004 (1982) [MB#109818]<br />Delicatula candida (Bres.) Kühner & Romagn., Flore Analytique des Champignons Supérieurs: 119 (1953) [MB#296510]

<br />Marasmiellus albocorticis Secr. ex Singer, Lilloa 22: 300 (1951) [MB#300060]

<br />Marasmiellus albus-corticis Secr. ex Singer, Lilloa 22: 300 (1951) [MB#269732]<br />Hemimycena candida (Bres.) Singer, Annales Mycologici 41: 121 (1943) [MB#259584]

<br />Mycena candida (Bres.) Kühner, Encyclopédie Mycologique 10: 659 (1938) [MB#251231]

<br />Marasmius magnisporus Murrill, Mycologia 4 (4): 166 (1912) [MB#172686]

<br />Omphalia candida Bres., Fungi Tridentini 2 (14): 87 (1900) [MB#213980]

<br />Omphalia lepista var. candida (Bresadola) Quélet, Enchiridion Fungorum in Europa media et praesertim in Gallia Vigentium: 22 (1886) [MB#803051]

<br />Marasmius candidus Fr., Epicrisis Systematis Mycologici: 381 (1838) [MB#287922]

"

シロマツタケモドキ,Tricholoma radicans,,Tricholoma radicans Hongo,キシメジ科,キシメジ属,Tricholomataceae,Tricholoma,"Tricholoma radicans Hongo, Memoirs of Shiga University 18: 47 (1968) [MB#324930]",

シロムカデゴケ,Physcia phaea,,,,,,,"Physcia phaea (Tuck.) J.W. Thomson, Beihefte zur Nova Hedwigia 7: 54 (1963) [MB#345624]","Physcia aipolia subsp. phaea (Tuck.) Clauzade & Cl. Roux, Bulletin de la Société Botanique du Centre-Ouest 7: 827 (1985) [MB#116470]<br />Parmelia phaea Tuck., Flora Cestrica: 440 (1853) [MB#345493]

"

シロムラサキシメジ,Lepista irina,ハタシメジ（Lepista irina）,Lepista irina (Fr.) H.E. Bigelow,キシメジ科,ムラサキシメジ属,Tricholomataceae,Lepista,"Lepista irina (Fr.) H.E. Bigelow, Canadian Journal of Botany 37 (5): 775 (1959) [MB#299520]","Clitocybe irina (Fr.) H.E. Bigelow & A.H. Sm., Brittonia 21 (1): 172 (1969) [MB#311343]<br />Rhodopaxillus irinus (Fr.) Métrod, Revue de Mycologie, Suppl.: 29 (1942) [MB#357339]

<br />Gyrophila irina (Fr.) Quél., Enchiridion Fungorum in Europa media et praesertim in Gallia Vigentium: 17 (1886) [MB#507618]

<br />Tricholoma irinum (Fr.) P. Kumm., Der Führer in die Pilzkunde: 132 (1871) [MB#200340]

<br />Agaricus irinus Fr., Epicrisis Systematis Mycologici: 48 (1838) [MB#457353]

"

シロモジホコリ,Physarum album,,,,,,,"Physarum album (Bull.) Chevall., Flore Générale des Environs de Paris 1: 336 (1826) [MB#249444]","Tilmadoche alba (Bull.) T. Macbr., The North American slime-moulds: 58 (1899) [MB#101979]<br />Diderma neesii Corda, Icones fungorum hucusque cognitorum 2: 23, t. 12:88 (1838) [MB#210416]<br />Licea alba Nees, Mykologische Hefte 2: 66 (1823) [MB#214857]

<br />Mucor albus (Bull.) Sobol., Flora petropol.: 321 (1799) [MB#143337]

<br />Trichia alba (Bull.) Raeusch., Nomencl. Bot.: 349 (1797) [MB#101711]

<br />Stemonitis alba (Bull.) J.F. Gmel., Systema Naturae 2 (2): 1469 (1792) [MB#241961]

<br />Sphaerocarpus albus Bull., Herbier de la France 9: t. 407:3 (1789) [MB#196551]

"

シロモジホコリ,Physarum nutans,,,,,,,"Physarum album (Bull.) Chevall., Flore Générale des Environs de Paris 1: 336 (1826) [MB#249444]","Tilmadoche nutans (Pers.) Rostaf., Sluzowce Monografia: 127 (1874) [MB#185103]

<br />Sphaerocarpus albus Bull., Herbier de la France 9: t. 407:3 (1789) [MB#196551]"

シロモリノカサ,Agaricus silvicola,"シロモリハラタケ，
ナガエノハラタケ",Agaricus silvicola (Vittad.) Peck,ハラタケ科,ハラタケ属,Agaricaceae,Agaricus,"Agaricus silvicola (Vittad.) Peck, Annual Report on the New York State Museum of Natural History 23: 97 (1872) [MB#283990]","Fungus silvicola (Vittad.) Kuntze, Revisio generum plantarum 3 (2): 480 (1898) [MB#526467]

<br />Psalliota silvicola (Vittad.) Richon & Roze, Atlas Champ. comest. vénéneux: t. 7:13-16 (1885) [MB#356633]

<br />Pratella campestris var. silvicola (Vittad.) Gillet, Les Hyménomycètes ou Description de tous les Champignons qui Croissent en France: 562 (1878) [MB#116541]

<br />Pratella flavescens Gillet, Les Hyménomycètes ou Description de tous les Champignons qui Croissent en France: 564 (1878) [MB#114470]<br />Psalliota campestris var. silvicola (Vittad.) P. Kumm., Der Führer in die Pilzkunde: 73 (1871) [MB#116537]

<br />Agaricus campestris var. silvicola Vittad., Descr. Funghi mang. Italia: 213 (1832) [MB#439265]

"

シロヤマイグチ,Leccinum niveum,,Leccinum niveum (Fr.) Šutara,イグチ科,ヤマイグチ属,Boletaceae,Leccinum,"Leccinum niveum (Fr.) Šutara, Ceská Mykologie 43 (1): 6 (1989) [MB#135292]","Leccinum chioneum (Fr.) Redeuilh, Documents Mycologiques 20 (78): 35 (1990) [MB#133935]<br />Leccinum niveum (Fr.) Šutara, Ceská Mykologie 43 (1): 6 (1989) [MB#135292]

<br />Leccinum niveum (Fr.) Rauschert, Nova Hedwigia 45 (3-4): 503 (1987) [MB#133133]

<br />Krombholziella nivea (Fr.) Bon, Documents Mycologiques 14 (56): 16 (1985) [MB#105407]

<br />Krombholziella nivea (Fr.) Alessio, Boletus Dill. ex L. (sensu lato): 452 (1985) [MB#129481]

<br />Leccinum scabrum subsp. niveum (Fr.) Singer, Lilloa 22: 686 (1951) [MB#124037]

<br />Gyroporus scaber var. niveus (Fr.) Quél., Enchiridion Fungorum in Europa media et praesertim in Gallia Vigentium: 162 (1886) [MB#802864]

<br />Boletus scaber var. niveus (Fr.) Opat., Commentatio historico-naturalis de familia fungorum Boletoideorum: 33 (1836) [MB#116548]

<br />Boletus chioneus Fr., Observationes mycologicae 2: 250 (1818) [MB#259307]

<br />Boletus niveus Fr., Observationes mycologicae 1: 111 (1815) [MB#194518]

"

シロヤリタケ,Clavaria acuta,,Clavaria acuta Sowerby,シロソウメンタケ科,シロソウメンタケ属,Clavariaceae,Clavaria,"Clavaria acuta Pers., Mycologia Europaea 1: 186 (1822) [MB#491138]","Clavulina pampaeana (Speg.) Corner (1950) [MB#295022]<br />Clavaria pampeana Speg., Anales de la Sociedad Científica Argentina 12 (1): 30 (1881) [MB#147338]

<br />Clavaria pampaeana Speg., Anales de la Sociedad Científica Argentina 12 (1): 30 (1881) [MB#508787]

"

シロロウアナタケ,Antrodia gossypium,,Antrodia gossypium (Speg.) Ryvarden,ツガサルノコシカケ科,ヒメシロアミタケ属,Fomitopsidaceae,Antrodia,"Antrodia gossypium (Speg.) Ryvarden, Norwegian Journal of Botany 20 (1): 8 (1973) [MB#308777]","Fibroporia gossypium (Speg.) Parmasto, Conspectus Systematis Corticiacearum: 177 (1968) [MB#330869]<br />Poria gossypina Speg. (1899) [MB#492934]

<br />Poria gossypium Speg., Anales del Museo Nacional de Historia Natural Buenos Aires 6: 169 (1899) [MB#196346]

"

シワイワタケ,Lasallia caroliniana,,,,,,,"Lasallia caroliniana (Tuck.) Davydov, Persoh & Rambold, Mycological Progress 9 (2): 264 (2010) [MB#543713]","Gyrophora caroliniana (Tuck.) Schol. (1936) [MB#366437]<br />Umbilicaria caroliniana Tuck., Proceedings of the American Academy of Arts and Sciences 12: 167 (1877) [MB#408084]

"

シワオチバタケ,Marasmius glabellus,,Marasmius glabellus Peck,ホウライタケ科,ホウライタケ属,Marasmiaceae,Marasmius,"Marasmius glabellus Peck, Bulletin of the Buffalo Society of Natural Sciences 1: 58 (1873) [MB#236507]","Chamaeceras glabellus (Peck) Kuntze, Revisio generum plantarum 3 (2): 456 (1898) [MB#524223]"

シワカラカサタケ,Cystoderma amianthinum,,Cystoderma amianthinum (Scop.) Fayod,ハラタケ科,シワカラカサタケ属,Agaricaceae,Cystoderma,"Cystoderma amianthinum (Scop.) Fayod, Annales des Sciences Naturelles Botanique ser. 7, 9: 351 (1889) [MB#121919]","Armillaria amianthina (Scop.) Kauffman, Papers of the Michigan Academy of Sciences 2: 60 (1923) [MB#250649]<br />Lepiota amianthina (Scop.) P. Karst., Bidrag till Kännedom av Finlands Natur och Folk 32: 15 (1879) [MB#249415]

<br />Lepiota granulosa var. amianthina (Scop.) P. Kumm., Der Führer in die Pilzkunde: 136 (1871) [MB#477067]

<br />Agaricus granulosus var. amianthinus (Scop.) Fr., Epicrisis Systematis Mycologici: 18 (1838) [MB#452995]

<br />Agaricus amianthinus Scop., Flora carniolica 2: 434, no 1500 (1772) [MB#465212]

"

シワカラカサモドキ,Cystoderma neoamianthinum,,Cystoderma neoamianthinum Hongo,ハラタケ科,シワカラカサタケ属,Agaricaceae,Cystoderma,"Cystoderma neoamianthinum Hongo, Journal of Japanese Botany 49 (10): 297 (1974) [MB#312532]",

シワタケ,Phlebia tremellosa,,Phlebia tremellosa (Schrad.) Nakasone & Burds.,シワタケ科,シワウロコタケ属,Meruliaceae,Phlebia,"Phlebia tremellosa (Schrad.) Nakasone & Burds., Mycotaxon 21: 245 (1984) [MB#106356]","Sesia tremellosa (Schrad.) Kuntze, Revisio generum plantarum 2: 870 (1891) [MB#455298]

<br />Xylomyzon tremellosum (Schrad.) Pers., Mycologia Europaea 2: 30 (1825) [MB#440799]

<br />Boletus arboreus Sowerby, Coloured Figures of English Fungi 3: 142, t. 346 (1803) [MB#160867]<br />Merulius tremellosus Schrad., Spicilegium Florae Germanicae: 139 (1794) [MB#207161]

<br />Agaricus betulinus O.F. Müll., Fl. danica 5: f. 776:1 (1777) [MB#255103]

"

シワチャヤマイグチ,Leccinum hortonii,,Hemileccinum hortonii (A. H. Smith & Thiers) (ined.) = Leccinum hortonii (A. H. Smith & Thiers) Hongo & Nagasawa,イグチ科,ヘミレクシヌム属,Boletaceae,Hemileccinum,"Leccinum hortonii (A.H. Sm. & Thiers) Hongo & Nagas., Reports of the Tottori Mycological Institute 16: 50 (1978) [MB#316413]","Xerocomus hortonii (A.H. Sm. & Thiers) Manfr. Binder & Besl, Micologia 2000: 85 (2000) [MB#482916]<br />Boletus hortonii A.H. Sm. & Thiers, The Boletes of Michigan: 319 (1971) [MB#309700]

<br />Boletus subglabripes var. corrugis Peck: 112 (1897) [MB#138335]

"

シワチャワンタケ,Helvella solitaria,"ワンガタクロノボリリュウ，
ウテナチャワンタケ",Helvella solitaria P. Karst.,ノボリリュウ科,ノボリリュウ属,Helvellaceae,Helvella,"Helvella solitaria P. Karst., Bidrag till Kännedom av Finlands Natur och Folk 19: 37 (1871) [MB#414784]","Lachnea solitaria (P. Karst.) Bizz. & Sacc.: no. 323 (1876) [MB#582100]<br />Peziza solitaria P. Karst., Notiser ur Sällskapets pro Fauna et Flora Fennica Förhandlingar 10: 111 (1869) [MB#539084]

"

